Data,Tweet,Hashtags
Wed Dec 07,"Bengaluru-based Wakefit will use the funds mainly for expansion and to buy back employee stock options.

(… https://t.co/fy0xumuAe1",[]
Wed Dec 07,"In an interview with Mint's @Sneha_S_Shah, Kanwal Rekhi, managing partner, SVQuad and co-founder and MD of Inventus… https://t.co/BJYUr3pB7E",[]
Wed Dec 07,These institutions are set to play a key role in bridging the gap between their current level of development and wh… https://t.co/AlcifnJY1O,[]
Wed Dec 07,The EU ambassador to India Ugo Astuto in an interview with Mint's @MattooShashank &amp; @ravidutta_ said that the EU re… https://t.co/DfDP1lNUu4,[]
Wed Dec 07,"Health experts say a home-grown influenza vaccine could provide relief to patients.

(@journo_priyanka reports)

https://t.co/FQlGYm2EYs",[]
Wed Dec 07,"While Iran's rice imports in April-September stood at $641.66 million after hitting $855.72 million in FY22, tea im… https://t.co/DMwXs3AU7V",[]
Wed Dec 07,"The national average of cancer cases for 2022 is 100.4 per 100,000, with a large number of women being diagnosed wi… https://t.co/qwzHJSfm9o",[]
Wed Dec 07,"#MintTopOfTheMorning |☕ ₹1 crore pay and a rider 

Subscribe to the #MintNewsletter here: https://t.co/IWH0F1bUpt

https://t.co/lnZjeFRzO4","[Hashtag(Text='MintTopOfTheMorning'), Hashtag(Text='MintNewsletter')]"
Wed Dec 07,Vodafone Idea has initiated discussions with ATC to extend the preferential issue of optionally convertible debentu… https://t.co/kTgwMGsEru,[]
Wed Dec 07,"#Easynomics | What cryptos have in common with a superhit Bhojpuri song? — writes @kaul_vivek

Subscribe to the… https://t.co/v7O5HRQdvx",[Hashtag(Text='Easynomics')]
Wed Dec 07,"The median salary of IIT's batch of 2022 was ₹22 lakh, a 7.8% increase from that in 2021. 

(@DevinaSengupta report… https://t.co/pjWf6wByb7",[]
Wed Dec 07,"Vodafone Idea's proposal to issue ₹1,600 crore debentures to ATC Telecom Infrastructure has lapsed in absence of an… https://t.co/WRPjLCvddu",[]
Wed Dec 07,"The plan is to offer the PM Gati Shakti model to countries where India is already implementing projects. 

(… https://t.co/VkRSsSkYdS",[]
Wed Dec 07,The latest request comes two months after the government asked broadcasters and video streaming services to drop su… https://t.co/NABmxC4Ko1,[]
Wed Dec 07,"#MintPremium | At the current market price, IDBI Bank is valued at ₹63,009 crore and a 60.72% stake would generate… https://t.co/5UjAm7ZSq3",[Hashtag(Text='MintPremium')]
Wed Dec 07,"[PARTNERED]

Here are some of the main highlights of the Mint and SAP presents Industry Knowledge Exchange Summit S… https://t.co/jzseadEprV",[]
Tue Dec 06,Bahrain’s alternative investment firm Investcorp is set to lead a nearly $45 million round of equity funding in mat… https://t.co/Xd1aVb21wS,[]
Tue Dec 06,"World Bank senior economist Dhruv Sharma projected India's retail inflation, which is measured by the Consumer Pric… https://t.co/5G9HRAPOjm",[]
Tue Dec 06,IATA expects airlines to post a global net profit of $4.7 billion on revenues of $779 billion with 0.6% net margin… https://t.co/JYvkOPRCl5,[]
Tue Dec 06,"Addressing the ‘Women leading Change in Health and Science in India’ conference, the minister said that the governm… https://t.co/0q71ygD6NV",[]
Tue Dec 06,Nations are increasingly worried about their food security after Russia’s invasion of Ukraine disrupted the world’s… https://t.co/R9IscqUuVX,[]
Tue Dec 06,Goldman's head of digital assets said the company is planning  to buy or invest in crypto firms after the collapse… https://t.co/S91mNdAVil,[]
Tue Dec 06,"As zero-Covid policies followed by their authorities hit China as an investment destination, multinational companie… https://t.co/pK4V8O50tI",[]
Tue Dec 06,"""There are 2,875 branches and around 800 rural centres and the focus will be on converting these centres into branc… https://t.co/cAujYNqYzD",[]
Tue Dec 06,#MintPremium | Business momentum in India's services sector rose to a three-month high in November aided by accommo… https://t.co/XLJdjXz3Vp,[Hashtag(Text='MintPremium')]
Tue Dec 06,#MintPremium | ICICI Bank reiterated its plan of sustained client focus and bettering its digital capabilities at i… https://t.co/DkLv5Xou6P,[Hashtag(Text='MintPremium')]
Tue Dec 06,"Some notable investments of IFU in India are Clean Max Enviro Energy Solutions, Leap India Food and Logistics, DCDC… https://t.co/bJzL1hCcWC",[]
Tue Dec 06,"HealthKart will use the funds to grow its direct-to-consumer brands, ramp up offline presence, expand international… https://t.co/uGMd5rmFTz",[]
Tue Dec 06,"Moglix works with manufacturing and infrastructure companies to help streamline their end-to-end supply chains, fro… https://t.co/XO0ge3s2AH",[]
Tue Dec 06,"""While we do see some of our customers tightening their belts, the good news is that many of our customers are actu… https://t.co/jzmJiivtDV",[]
Tue Dec 06,"Referring to Beijing as a ""systemic rival"", Germany's foreign minister Baerbock made it clear that the country's po… https://t.co/A0smGIrslv",[]
Tue Dec 06,"NHA is the apex implementing agency of Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY). In 2021-22, it go… https://t.co/lfs6dPtM5i",[]
Tue Dec 06,"#MintPremium | The government earlier decriminalized the Companies Act, making several offences compoundable in add… https://t.co/ecSWUK62S3",[Hashtag(Text='MintPremium')]
Tue Dec 06,"The foundation is the world’s fifth-largest private endowment with a $38 billion corpus.

(@varunstweets reports)

https://t.co/4sVAtLgU3C",[]
Tue Dec 06,"Amid the buzz around more big tech layoffs in the United States, experts notify that there are ‘over 10 million vac… https://t.co/zKWvUh3o8u",[]
Tue Dec 06,"Indian authorities have prevented Vivo from exporting some 27,000 smartphones for more than a week in a setback to… https://t.co/i7SkJU1IaR",[]
Tue Dec 06,"India has asked Google to stop displaying surrogate ads of overseas betting companies such as Fairplay, PariMatch,… https://t.co/0pfe65RhAo",[]
Tue Dec 06,"India is set to gain from the cap on the price of Russian crude oil, a US-led move that came into effect from Monda… https://t.co/1n08bRKS7S",[]
Tue Dec 06,"Apple announced what it said was the biggest upgrade to how apps on its App Store are priced, since the App Store w… https://t.co/4uO4upPBC3",[]
Tue Dec 06,"The annual placement season at the Indian Institutes of Technology (IITs) kicked off on 1 December, with many compa… https://t.co/ajLVqH9x5e",[]
Tue Dec 06,Federal policy think tank NITI Aayog has received requests from over a dozen states to help set up similar institut… https://t.co/QopwefYxof,[]
Tue Dec 06,The committee met in the last week of November and deliberated on the phase-3 clinical trials report submitted by t… https://t.co/DN0J0N7ApM,[]
Tue Dec 06,"Carlyle Group, Fairfax Financial Holdings, and DBS Bank are considering to bid for at least 10% each in IDBI Bank a… https://t.co/voF1m7zeel",[]
Tue Dec 06,"The rupee fell 1% on Tuesday on the back of unwinding of carry trades and corporate dollar demand.

The stronger-th… https://t.co/t53gu8z7t1",[]
Tue Dec 06,#MintPremium | Oil markets are bracing for volatility after Russia dismissed the G7 price cap of $60 per barrel on… https://t.co/ztMYq8j9bW,[Hashtag(Text='MintPremium')]
Tue Dec 06,"The Hindi film box office has finally picked up some steam in the past few weeks with three films—Uunchai, Bhediya… https://t.co/aSba8HqLR4",[]
Tue Dec 06,The surge in inflows comes at a time when Indian shares rose to record highs. The benchmark Nifty 50 and Sensex ind… https://t.co/z0puBytP8y,[]
Tue Dec 06,Officials from the nations’ central banks met last week to discuss technical possibilities while their foreign mini… https://t.co/3HqXk7Cmvv,[]
Tue Dec 06,Iran has abruptly stopped importing Indian tea and rice in a likely retaliation for India curbing some fruits from… https://t.co/vIDdPOM67B,[]
Tue Dec 06,"After growing at 8.7% in FY22, India’s GDP reported a 13.5% expansion in the June quarter and a 6.3% growth in the… https://t.co/3f0NMTvkyo",[]
Tue Dec 06,Modi was speaking at the opening ceremony of the International Year of Millets at the headquarters of the Food and… https://t.co/AawQ8aFiSE,[]
Tue Dec 06,Distributors of fast-moving consumer goods have raised concerns over some practices of packaged goods makers such a… https://t.co/8uzu3wZaTB,[]
Tue Dec 06,#MintPremium | The incremental share supply and ambiguity on cash usage after dilution of the government’s stake is… https://t.co/4C6V9zWMtE,[Hashtag(Text='MintPremium')]
Tue Dec 06,"The queue for passenger vehicles now has over 700,000 people in line, but automakers are unable to service the dema… https://t.co/jZSPAgMJfX",[]
Tue Dec 06,"Veteran angel and venture capital investor Kanwal Rekhi has justified the recent layoffs by Indian startups, termin… https://t.co/Em0R64wL0W",[]
Tue Dec 06,"JSW Steel Ltd, one of India’s largest steelmakers, has flagged serious issues in the price discovery process of cok… https://t.co/C11OXfYOKe",[]
Tue Dec 06,"Rahul Kamerkar, the counsel representing JACCA, said that the terms of the resolution plan have not been met by the… https://t.co/K9yIz1fZWT",[]
Tue Dec 06,"In November, Bajaj’s 2W export volumes fell by over 28% year-on-year (y-o-y) to 138,630 units. This marked the fift… https://t.co/4c2gCOtvmi",[]
Tue Dec 06,"Wall Street's main indexes fell on Tuesday, dragged down by shares of Meta Platforms and banks, while investors wor… https://t.co/FWoGZ7tAhC",[]
Tue Dec 06,The high nominal GDP growth in the first quarter supported strong growth in revenue collection especially due to GS… https://t.co/SEFHbEfP50,[]
Tue Dec 06,"#Opinion | India’s G20 presidency presents an opportunity to take stock of the situation, assess the intensity of t… https://t.co/ECUTcK86jY",[Hashtag(Text='Opinion')]
Tue Dec 06,#Opinion | The first large-scale study of a four-day workweek has come to a startling close: Not one of the 33 part… https://t.co/xZDsqUSRlT,[Hashtag(Text='Opinion')]
Tue Dec 06,"#FinNext | Bitcoin millionaires biggest crypto investors in the world

The BTC Network may be decentralised but som… https://t.co/v4lWYWQura",[Hashtag(Text='FinNext')]
Tue Dec 06,"#Opinion | Major crises, such as the covid pandemic that took hold in March 2020, only exacerbate challenges faced… https://t.co/vqIEbJ3voV",[Hashtag(Text='Opinion')]
Tue Dec 06,"Noted economist and former Union minister Yoginder K Alagh passed away on Tuesday after a prolonged illness, his fa… https://t.co/qSK7oLYJsO",[]
Tue Dec 06,The government said that it may consider relaxing the five-year lock-in period for shares if a non-banking financia… https://t.co/qFQVtU1mqw,[]
Tue Dec 06,Vodafone Idea has initiated discussions with ATC to extend the preferential issue of optionally convertible debentu… https://t.co/91ixXHofkT,[]
Tue Dec 06,"#MintPremium | Instability grips the world as the pandemic lingers, inflation swells, violence against Ukraine rage… https://t.co/IGQfuq3wjB",[Hashtag(Text='MintPremium')]
Tue Dec 06,Industry bodies and startups have been pushing the government for clarifications on cross-border data flow rules de… https://t.co/gVVQh1wvW9,[]
Tue Dec 06,#MIntPremium | PepsiCo Inc. is laying off workers at the headquarters of its North American snacks and beverages di… https://t.co/Xn99j8fKtR,[Hashtag(Text='MIntPremium')]
Tue Dec 06,Fitch Ratings said it expects the five-month-old tax on windfall profits made by oil companies to be phased out in… https://t.co/m0bjA04uRV,[]
Tue Dec 06,#MintPremium | AT&amp;T Inc. will pay $6.25 million to settle a lawsuit filed by regulators that alleged it gave nonpub… https://t.co/jqGIl0l4c4,[Hashtag(Text='MintPremium')]
Tue Dec 06,"With a market valuation of Rs. 49.87 Cr., Maxheights Infrastructure Ltd. is a small-cap company that operates in th… https://t.co/x8DWOio5Ku",[]
Tue Dec 06,#MintPremium | Taiwan Semiconductor Manufacturing Co. plans to build a second semiconductor factory in Arizona and… https://t.co/VCAtedf3Kn,[Hashtag(Text='MintPremium')]
Tue Dec 06,"Vodafone Idea's approval to issue ₹1600 cr OCD to ATC lapses

Read here: https://t.co/g2TfUKmK0M https://t.co/FnZHMlrlDM",[]
Tue Dec 06,Truecaller’s announcement comes a week after the Telecom Regulatory Authority of India (Trai) issued a cross-indust… https://t.co/wAbDFJHZ48,[]
Tue Dec 06,Bahrain’s alternative investment firm Investcorp is set to lead a nearly $45 million round of equity funding in mat… https://t.co/bdyc8PiYEO,[]
Tue Dec 06,"Global challenges need to be fought through global collaboration, regardless of our respective ideologies or indivi… https://t.co/DqYqKBd5cA",[]
Tue Dec 06,"World Bank senior economist Dhruv Sharma projected India's retail inflation, which is measured by the Consumer Pric… https://t.co/L6zOaQGUJ4",[]
Tue Dec 06,"With a market valuation of Rs. 1,375.64 Cr., Lancer Container Lines Ltd. is a small-cap company that engages in the… https://t.co/DlJcR8vO1i",[]
Tue Dec 06,"#MintPremium | Europe has a vision for a better internet. Will the reality be as compelling as the dream?

https://t.co/1VjaXvLMH4",[Hashtag(Text='MintPremium')]
Tue Dec 06,"#MintPremium | After a string of battlefield losses in Ukraine in recent months, President Vladimir Putin faces a b… https://t.co/fBM6qOPLZ5",[Hashtag(Text='MintPremium')]
Tue Dec 06,"With a market worth of ₹387.92 Cr., Star Housing Finance Ltd. is a small-cap business that operates in the financia… https://t.co/8QAWnHdEje",[]
Tue Dec 06,"The company will offer 62.90 lakh shares at the price band of ₹52-54 per share. 

https://t.co/cowbyxANnH",[]
Tue Dec 06,"Fitch Ratings has retained India's economic growth forecast at 7% for current fiscal. 

The ratings agency said tha… https://t.co/gyLmmf4tHw",[]
Tue Dec 06,New York-based The Trump Organization entered into the Indian real estate market through a partnership with Mumbai-… https://t.co/bL5ctik7WG,[]
Tue Dec 06,"‘An Action Hero’ new release of the week, Disney+ Hotstar streams ‘Freddy’

In the latest episode of its show, 'Bus… https://t.co/aiWvy3cPic",[]
Tue Dec 06,"#MintPremium | Home insurance premium rates rose 9.3% from Jan. 1, 2021, through Nov. 25 on average nationwide, acc… https://t.co/4YHFSmgKri",[Hashtag(Text='MintPremium')]
Tue Dec 06,The Institute for Supply Management said that its index of service-sector activity rose to 56.5 for November from O… https://t.co/0rMyTvSjyP,[]
Tue Dec 06,IATA expects airlines to post a global net profit of $4.7 billion on revenues of $779 billion with 0.6% net margin… https://t.co/zJl3DqbhnS,[]
Tue Dec 06,"Big and small investors are queuing up to pull money out of real-estate funds, the latest sign that the surge in in… https://t.co/q70aIk9Tm4",[]
Tue Dec 06,"#MintPremium | Early gains for crude Monday, triggered by easing Covid restrictions in China and a price cap on Rus… https://t.co/Pr50Vy8yy2",[Hashtag(Text='MintPremium')]
Tue Dec 06,"#MyMoneyMatters | Home Loans 101 

Dreaming of buying your own house? Learn everything about Home Loans in this sho… https://t.co/Um2G5RODOV",[Hashtag(Text='MyMoneyMatters')]
Tue Dec 06,The Garuda Drone Skilling &amp; Training Conference which is to be conducted in 775 districts across the country hopes… https://t.co/jSbav4K022,[]
Tue Dec 06,#MintPremium | Meta Platforms has long given unfair deference to VIP users of its Facebook and Instagram services u… https://t.co/G1iVv7wcN4,[Hashtag(Text='MintPremium')]
Tue Dec 06,"Investors from Singapore and Japan are showing interest in the logistics sector apart from IT and electronics, and… https://t.co/SCba3sy3dq",[]
Tue Dec 06,Natco Pharma said it has received a favorable judgement from the Delhi High Court in a patent infringement case reg… https://t.co/qCiqezybJY,[]
Tue Dec 06,"The project was awarded to Sterlite Power through tariff-based competitive bidding (TBCB) in March, a company state… https://t.co/G52SrCFGD5",[]
Tue Dec 06,"India's state-run Hindustan Petroleum Corp. issued a prompt tender for the import of 40,000 tonnes of non-oxygenate… https://t.co/f7C2qKdI4P",[]
