Open,Closed,Highest,lowest,Trading volume
286.9233,300.98,302.12,282.6767,786411
301.06,303.0833,308.0267,296.1967,607314
301.3133,317.54,318.5,295.0933,728806
313.07,291.0933,315.2,285.9,1016720
295.6667,288.55,296,281.035,790390
278.8167,262.37,281.8767,260.3833,1135040
273.1033,266.68,275.12,258.0833,894442
265,244.6667,269.9233,242.4,1144553
233.6667,242.6667,253.22,226.6667,1393017
257.8267,256.53,262.45,250.5217,864581
255.72,241.4567,256.5867,239.6962,844607
249.12,253.87,254.8267,242.95,728839
248.1733,236.6033,253.5,233.6033,888561
235.6667,236.4733,244.6667,231.37,822374
237.9967,221.3,240.5273,211,1688029
218.34,224.9667,226.6517,212.6867,885446
217.8433,209.3867,217.9733,206.8567,916173
207.95,219.6,223.1067,207.67,773480
220.4733,235.91,239.5566,217.8867,912913
241.0833,253.21,253.2667,240.177,780166
257.9467,252.7533,259.6,244.7433,869759
251.72,246.79,257.3267,243.64,663698
244.1567,258.3333,264.21,242.0667,762172
243.225,234.5167,247.7966,233.4178,1099909
244.3533,238.28,244.8667,234.35,751095
234,238.8867,239.9967,230.0933,641259
240.0867,241.8667,249.9633,239.1767,683898
249.34,239.7067,255.5466,239.3267,876379
235.1567,232.23,239.5,227.9133,974758
223.1667,215.7367,226.6333,214.6833,1042431
218.2867,220.89,226.33,211.7367,805382
220.9167,233,235.6633,218.15,894423
222.7367,213.1,225.1667,208.6933,979352
213.4333,216.76,220.9694,213.1967,673263
224.6033,237.0367,243.5774,224.3333,1004686
234.5033,236.0867,246.8333,233.8267,758537
237.905,235.07,239.3167,228.6367,795535
237.4683,245.7067,246.0667,236.0867,684994
249.3667,244.92,252.07,242.5655,681102
244.4833,232.6633,249.97,232.3433,777804
230.5,228.49,231.1733,222.2733,735896
224.51,224.4733,229.4567,218.8633,761005
227,227.2633,230.23,222.12,624916
223,233.0667,233.1467,216.1667,783238
230.78,231.7333,234.5633,227.1867,603510
233.92,244.5433,245.3617,232.21,699835
242.3333,250.7633,254.98,241.1614,825388
252.1033,234.3433,253.0633,233.6267,875138
236.8467,233.07,239.7733,228.3683,691927
225.5,237.04,242.06,225.0333,769778
234.8967,238.3133,238.6533,229.3333,600568
240,240.0667,243.6233,236.89,519685
244.9367,240.5467,250.5167,239.6033,642640
245,245.53,247.14,236.9767,623005
246.7833,247.5,250.6633,243.483,751731
255.1067,271.7067,273.2667,254.8667,1184822
276.22,272.2433,280.7867,270.7133,908548
272.2167,268.4333,274.1467,267.4,561058
266.5133,258.86,267.31,256.2633,551723
263.81,274.82,275.9256,261.79,671564
280.0667,280.9,283.3,272.8,700681
280.7,297.15,298.32,279.1,783953
301.275,297.2767,311.8782,295,1085383
294.0033,300.5867,307.8333,292.6667,808466
305,307.3967,309.55,301.15,746897
311,308.6333,313.6067,305,694806
302.67,288.17,304.6066,285.5447,1123821
295,290.4233,305.2,289.0854,925611
290.2933,283.3333,292.3967,279.3533,806269
297.0667,294.3567,297.51,283.37,888683
296.5133,286.63,298.2367,285.8333,726685
289.415,300.03,300.16,285.0333,676771
301.7867,309.32,313.1333,301.23,825109
311.6667,306.5633,314.6667,302.8833,805570
303.3967,303.9967,309.6567,300.0333,611535
306,302.87,306.5,301.8533,490140
299,296.6667,300.36,292.5,589024
291.9133,289.9133,292.4,286.2967,587357
291.4533,296.4533,298.8266,287.9233,576125
297.5633,297.0967,303.6467,296.5,594435
302.36,296.07,302.96,291.6,1041465
297.43,288.09,302,287.47,984029
282.83,284.82,287.74,280.7,693160
287.865,277.7,288.48,272.65,827145
280.62,275.61,281.25,271.81,756730
272.575,277.16,277.58,266.15,836023
281.065,270.21,282.35,269.08,760296
272.675,274.42,275.99,265.74,852786
273.1,283.7,283.84,272.27,717323
281.3,289.26,289.5,279.76,713364
291.67,299.68,299.85,291.245,781284
300.72,304.42,305.49,300.4,766855
292.9,292.13,297.3999,290.4,985167
292.24,302.61,306,291.64,951744
301.825,303.75,309.12,300.7247,855303
299.605,303.35,303.71,295.6005,757863
300.09,309.07,309.84,297.8,842284
306.91,308.73,313.33,305.58,819818
308.29,300.8,313.8,300.63,837929
299.86,288.59,301.29,285.82,1086009
283.09,275.33,284.5,272.82,1057060
271.83,276.01,284.09,270.31,909215
283.84,282.94,288.67,277.51,857133
283.08,287.81,289,277.57,739947
282.76,268.21,283.65,265.78,1125572
266.145,265.25,275.57,262.47,927855
254.5,242.4,255.16,241.01,1539826
250.52,249.44,257.5,242.01,1313284
245.01,240.81,246.6697,233.27,1172525
239.44,238.13,244.58,235.35,827247
233.935,223.07,234.5715,222.02,1245277
223.93,222.96,226.99,218.3582,890250
220.945,216.5,225.75,215,926043
215.33,217.24,219.2999,211.51,809804
208.3,221.72,222.99,206.22,1157759
224.01,204.99,226.26,204.16,1283326
210.04,219.35,221.86,209.45,954631
229.5,220.19,229.82,217.25,841837
219.8,222.04,222.93,217.78,864642
208.28,207.28,215.55,202,1546084
206.415,214.44,214.66,203.8,903060
205.82,211.25,213.5,198.5863,1305814
210.1,222.415,224.3498,210,1050829
219.4,224.64,230.6,218.2,922631
229.77,225.09,233.81,222.85,740944
225.4,228.52,228.86,216.35,794354
226.19,227.54,229.85,221.94,717881
234.05,227.82,237.3951,227.28,701489
226.04,214.98,227.8699,214.82,802301
211.36,215.31,221.2,210.14,644110
222.6,207.47,223.8,203.08,1202728
208.65,197.08,208.9,196.66,1347595
194.02,191.3,195.2,186.75,1540661
190.775,177.59,195.89,177.12,1575592
189.9,190.72,191,180.03,1406974
186,195.97,196.52,182.59,1168919
192.77,190.95,195.73,186.34,953196
195.88,194.42,200.8237,192.06,984207
191.51,186.92,192.57,185.66,812207
183.96,183.17,186.16,180.9,772735
185.05,180.19,185.19,176.55,944090
175.85,167.87,176.77,167.54,1251916
168.63,169.91,170.92,166.185,863694
173.57,183.2,183.62,172.5,1195367
185.06,182.86,185.2,180.63,584237
179.96,182.92,188.5,179,975432
184.99,180.83,186.38,178.75,883440
182.43,194.7,194.76,180.6301,983598
197.08,194.7,198.92,191.8,855149
191.78,194.86,196.25,191.11,833601
